"","BC16_fliv_N_1.sort.bam","BC16_fliv_N_2.sort.bam","BC16_fliv_O_1.sort.bam","BC16_fliv_O_2.sort.bam","BC16_fliv_P_1.sort.bam","BC16_fliv_P_2.sort.bam","BC16_fliv_Q_1.sort.bam","BC16_fliv_Q_2.sort.bam","BC16_fliv_R_1.sort.bam","BC16_fliv_R_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Smap1",7.77220626039782,7.77220626039782,7.99513350883749,7.99015995663696,8.09104632090983,8.13295606132223,7.77220626039782,7.77220626039782,8.99898026349867,8.94990827384835,7.77220626039782,7.77220626039782,7.90432301385744,7.91382577829779,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Ankrd39",8.84415223355896,8.84356443705055,7.81873404740824,7.89522839821035,8.00608084834115,8.01435577042783,8.66966919691707,8.67256738396609,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.92199763817081,7.93052582154348,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Chst10",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.84750207103667,7.8476153342964,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.84998292780009,8.84501910684949,7.88387643796239,7.88418316743581,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Col3a1",9.94494563505976,9.91828213747361,9.15910418300495,9.14440953929038,8.71011753907379,8.70581348483297,8.68890518536431,8.7168954109941,9.2146491831352,9.23024991362631,10.0197213485073,10.0265713627815,9.54601295950938,9.53865877190848,9.53373613926748,9.51643950493146,10.9354470264281,10.9393709789623
"Cdk15",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.66819544457894,8.66785576732165,8.35747611535072,8.30093493720836
"Ino80d",8.9224639037682,8.9080831324366,8.84450916684906,8.83671319360682,8.77694999654689,8.78360699087017,9.14260410987164,9.14685558866715,9.55055350500203,9.55316357131639,7.77220626039782,7.77220626039782,8.3893974346549,8.3851391323727,8.25658835958885,8.25640062395722,8.83088938059616,8.83186716649153
"Rufy4",7.77220626039782,7.77220626039782,8.03911880005785,8.03901745762796,8.08809215008059,8.0885655336151,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.07807883128621,8.5149871989971,8.08355739025599,8.08440970198153,8.36408159223859,8.42163937591688,9.00976566262355,9.00307547326918
"Pnkd",8.69910863727154,8.70733053513179,9.07522296985304,9.11191669708944,9.08787794531528,9.10408561459787,8.65658287170789,8.79907885368028,8.45808810182672,8.42624255002882,9.6453533488622,9.55739138875495,8.98132649121022,8.98630998417197,8.99388942288227,9.06618723102477,9.78112081982363,9.68332460239399
"Gm38374",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.91634317112166,7.91655985689083,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.45964909687462,7.77220626039782,7.77220626039782,7.77220626039782,8.19218207778303,8.15566485432453,8.65452159539259,8.79348319487297
"Hdlbp",9.93077527426577,9.92687468295943,10.5393391272544,10.5364929246007,10.5607384061832,10.5597099940638,10.2311600746302,10.2442824596836,10.5634737650434,10.5716941390242,9.52572255281606,9.54038372045517,10.0081037159577,10.0128678569291,10.0149695484584,9.97975862244695,9.78112081982363,9.78279618174078
"Cdh20",7.77220626039782,7.77220626039782,7.81873404740824,7.83797858777215,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.01681358873594,9.02351270528827,7.77220626039782,7.77220626039782,8.48472318036029,8.48444996482605,7.77220626039782,7.77220626039782
"Tnfrsf11a",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.91634317112166,7.91655985689083,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.58853349049086,8.59307717611095,7.95219721029869,7.95269120409652,7.77220626039782,7.77220626039782,8.54258033183118,8.48729169577538
"Celrr",7.77220626039782,7.77220626039782,7.90376682934094,7.9037167702405,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.91223642651416,8.91843004955008,7.77220626039782,7.77220626039782,8.33920994307399,8.33899093602073,7.77220626039782,7.77220626039782
"Nucks1",8.59603735394197,8.59557745221344,8.76347771721512,8.77215935351003,9.02512349416843,9.02823349157332,9.065493474032,9.06953594994494,9.0395028083429,9.04146801989789,9.41193633750497,9.42040740506677,9.0811169744533,9.0760928287032,9.20293903758779,9.19800029474309,9.39674455523448,9.398164615624
"Mfsd4a",7.77220626039782,7.77220626039782,8.09722710555532,8.0971038692268,8.00202180906598,7.98971223596483,7.77220626039782,7.88396869933272,8.65232691607911,8.65373507728175,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
