Geneid,BC12_fliv_G_1.sort.bam,BC12_fliv_G_2.sort.bam,BC12_fliv_J_1.sort.bam,BC12_fliv_J_2.sort.bam,BC12_fliv_K_1.sort.bam,BC12_fliv_K_2.sort.bam,CTRL_fliv_B_1.sort.bam,CTRL_fliv_B_2.sort.bam,CTRL_fliv_D_1.sort.bam,CTRL_fliv_D_2.sort.bam,CTRL_fliv_E_1.sort.bam,CTRL_fliv_E_2.sort.bam,CTRL_fliv_F_1.sort.bam,CTRL_fliv_F_2.sort.bam
4933401J01Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19938,0,0,0,0,0,0,0,0,0,0,0,0,17,17
Gm10568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rp1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Gm6101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,0,0,92,94,70,70,39,39,71,73,79,79,19,19
Gm37587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7357,0,0,11,12,34,33,0,0,12,11,0,0,0,0
Gm22307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6085,0,0,47,38,31,24,37,23,63,37,0,16,0,0
Gm6119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6123,0,1,0,0,3,3,0,0,0,0,0,0,9,7
Mrpl15,147,147,947,943,290,290,82,82,946,954,119,113,91,88
Gm37144,84,0,44,52,47,41,67,62,20,26,119,115,44,36
Lypla1,325,322,3245,3230,1104,1087,465,464,3799,3800,379,380,324,318
