"","BC12_fliv_G_1.sort.bam","BC12_fliv_G_2.sort.bam","BC12_fliv_J_1.sort.bam","BC12_fliv_J_2.sort.bam","BC12_fliv_K_1.sort.bam","BC12_fliv_K_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Ppp1r42",6.84066785633991,6.84066785633991,6.95399770805038,6.9333482350237,6.84066785633991,6.84066785633991,6.84066785633991,7.65523938391178,7.00632119507702,7.00659902481681,6.84066785633991,6.84066785633991,7.78495914398449,7.76673451484229
"Gm7560",8.87512789540447,8.80022848385529,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Gm7593",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.19714095493397,8.25939016262869,6.84066785633991,6.84066785633991,7.97782176976398,7.96048672998699,6.84066785633991,6.84066785633991
"Gm15825",8.4925483464447,8.71514778506923,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Pkhd1",6.84066785633991,6.84066785633991,7.31940974159352,7.29293105000959,6.84066785633991,6.84066785633991,8.22550206701489,8.23165385970247,7.49117824121064,7.46791131554183,7.45347399764656,7.55568474345413,7.51423148564098,7.85881955894307
"Adgrb3",8.12245497319745,8.12575884532001,6.84066785633991,6.84066785633991,7.32019348772519,7.32113902080575,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Prim2",6.84066785633991,6.84066785633991,7.08525823793154,7.08562490559305,6.84066785633991,6.84066785633991,8.07531874797079,8.06451271887919,7.27232240374166,7.24037104673196,6.84066785633991,6.84066785633991,7.63942882707808,7.61698969307016
"Gm15455",6.84066785633991,6.84066785633991,6.84066785633991,6.90620841410797,6.84066785633991,6.84066785633991,9.0110784949217,9.02713695458376,6.84066785633991,6.84066785633991,7.62244390463694,7.64217967596302,6.84066785633991,6.84066785633991
"Gm33222",8.22429936983712,8.22783058667884,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Aff3",6.84066785633991,6.84066785633991,7.0256555636612,7.0259331647319,6.95418484694773,6.95441062701356,6.84066785633991,6.84066785633991,7.01957755581191,7.01987756388026,7.65488562321412,7.65828278912221,7.94095841417483,7.94212823454462
"Chst10",6.84066785633991,6.84066785633991,6.9332092203156,6.9333482350237,6.84066785633991,6.84066785633991,8.25313318430528,8.24561083927679,6.99190180395049,6.99215549629785,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Il18r1",6.84066785633991,6.84066785633991,7.00089931502385,7.0259331647319,6.84066785633991,6.84066785633991,8.26668898708098,8.27299723510596,6.90832650488287,6.90844008440885,7.63884608353034,7.6088570267184,6.84066785633991,6.84066785633991
"Cd28",8.61082936485023,8.61515762119578,7.03686017945942,7.0259331647319,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.00632119507702,7.00659902481681,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Ctla4",8.5302058947904,8.53437674509852,6.84066785633991,6.84066785633991,7.06752661112823,7.00148281953587,6.84066785633991,6.84066785633991,6.93634287033059,6.93650345183761,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Ino80dos",6.84066785633991,6.84066785633991,7.06715319696686,7.08562490559305,6.84066785633991,6.84066785633991,8.66144148036109,8.66914307823758,7.08434717076398,7.07520098588605,7.77232430658896,7.78976630358809,6.84066785633991,6.84066785633991
"Myl1",6.84066785633991,6.84066785633991,9.76982505787123,9.77869850196305,7.51576911887331,7.52624826986036,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Gm5256",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.59676679466696,7.60030024855827,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.10166466307934,8.10298657321356
