"","BC12_fliv_G_1.sort.bam","BC12_fliv_G_2.sort.bam","BC12_fliv_J_1.sort.bam","BC12_fliv_J_2.sort.bam","BC12_fliv_K_1.sort.bam","BC12_fliv_K_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Pkhd1",6.84066785633991,6.84066785633991,7.31940974159352,7.29293105000959,6.84066785633991,6.84066785633991,8.22550206701489,8.23165385970247,7.49117824121064,7.46791131554183,7.45347399764656,7.55568474345413,7.51423148564098,7.85881955894307
"Prim2",6.84066785633991,6.84066785633991,7.08525823793154,7.08562490559305,6.84066785633991,6.84066785633991,8.07531874797079,8.06451271887919,7.27232240374166,7.24037104673196,6.84066785633991,6.84066785633991,7.63942882707808,7.61698969307016
"Aff3",6.84066785633991,6.84066785633991,7.0256555636612,7.0259331647319,6.95418484694773,6.95441062701356,6.84066785633991,6.84066785633991,7.01957755581191,7.01987756388026,7.65488562321412,7.65828278912221,7.94095841417483,7.94212823454462
"Ino80dos",6.84066785633991,6.84066785633991,7.06715319696686,7.08562490559305,6.84066785633991,6.84066785633991,8.66144148036109,8.66914307823758,7.08434717076398,7.07520098588605,7.77232430658896,7.78976630358809,6.84066785633991,6.84066785633991
"Hes6",8.33937249995614,8.33214622139487,9.58150969070194,9.57146790328457,9.4549503981741,9.43942579970239,8.25313318430528,8.25939016262869,8.57606089608507,8.58285517716556,7.86279222535783,7.8669947313212,8.17953043612898,8.18092361425862
"Pask",6.84066785633991,6.84066785633991,7.03686017945942,7.05785484145334,6.84066785633991,6.84066785633991,7.65146295108233,7.65523938391178,6.84066785633991,6.84066785633991,7.68595949758717,7.68947926826533,8.00252482410564,8.04750695065972
"Bcl2",6.84066785633991,6.84066785633991,7.26827118199447,7.27868086322811,7.18052034186694,6.84066785633991,9.33297195054662,9.29589793731085,7.15015338915571,7.15067103377399,6.84066785633991,6.84066785633991,8.56611922395488,8.56784109973509
"Gm19705",6.84066785633991,6.84066785633991,6.98695101407999,6.9871706461187,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.07480872088981,7.03223352746104,7.35968253292296,7.30735770586956,7.98750403075061,7.98871857396297
"Platr22",6.84066785633991,6.84066785633991,6.97151869107706,6.97171518644489,6.84066785633991,6.84066785633991,8.29330664537645,8.3128350692906,6.93634287033059,6.93650345183761,7.71581239588536,7.71944924368811,6.84066785633991,6.84066785633991
"Fmo3",8.78807001486289,8.7927275950927,9.81394098693233,9.8245829281231,9.57682606058103,9.59473295025325,7.93652493627838,7.94152395406101,8.37561476644919,8.37797308719737,8.16444174236872,8.16974264267144,7.70516202885143,7.70609747841894
"Gm36945",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.16800064455841,8.15899331942187,6.99190180395049,6.99215549629785,7.35968253292296,7.30735770586956,7.5920713365351,7.74702947671012
"Gm38190",6.84066785633991,6.84066785633991,7.05752957561491,7.05785484145334,6.84066785633991,6.84066785633991,8.6323079053739,8.63991338599148,7.06486112024879,7.06523678819559,7.45347399764656,7.77618081002922,6.84066785633991,7.6628793441003
"Akt3",6.84066785633991,6.84066785633991,7.31940974159352,7.3245008609429,7.26399875792028,7.24951003165449,8.35718075646807,8.36382555041514,7.05444725715939,7.05480554059482,7.92211326637369,7.92653869305518,8.19196074271213,8.19336514637543
"Gm37033",6.84066785633991,6.84066785633991,7.18615914342784,7.174146273694,7.39353943720967,7.40590684006319,8.38174703375836,8.3884814609538,7.05444725715939,7.07520098588605,7.67058370333096,7.65828278912221,8.0173147385878,8.01855764091731
"Dtl",6.84066785633991,6.84066785633991,7.03686017945942,7.03715454434122,6.84066785633991,6.84066785633991,8.29330664537645,8.28643719263128,7.13510085455199,7.13559350114927,7.45347399764656,7.45605973827254,6.84066785633991,6.84066785633991
"Gm26323",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.83794793447689,7.88345102180339,6.84066785633991,6.84066785633991,7.74456639862795,7.71944924368811,8.10166466307934,8.10298657321356
"Il1rn",6.84066785633991,6.84066785633991,7.14005009355113,7.13329744617074,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.50464025751468,7.50906123010245,7.7991736667697,7.91493942568139,8.07433442991696,8.06166839148531
"Stpg3",6.84066785633991,6.84066785633991,6.97151869107706,6.97171518644489,6.84066785633991,6.84066785633991,8.29330664537645,8.57926462067492,6.84066785633991,6.84066785633991,7.33331091668879,7.33540059153089,7.80374502836286,7.80477998716907
"Uap1l1",6.84066785633991,6.84066785633991,7.27802863717204,7.27868086322811,6.84066785633991,6.84066785633991,8.34469441409552,8.35129336505203,7.50130222611108,7.48883458337253,7.62244390463694,7.62571228761221,8.35245397695012,8.35399946779797
"Gm13611",6.84066785633991,6.84066785633991,6.9332092203156,7.01398254724988,6.95418484694773,7.06797712552046,8.07531874797079,7.82132980131385,7.05444725715939,7.0438353128247,7.95593566262121,7.97153398464667,6.84066785633991,7.03694695158951
"Garnl3",6.84066785633991,6.84066785633991,6.98695101407999,6.9871706461187,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.99190180395049,6.99215549629785,7.67058370333096,7.67404290036206,8.08809218025869,7.82317395013312
"Olfml2a",6.84066785633991,6.84066785633991,7.06715319696686,7.01398254724988,6.84066785633991,6.84066785633991,8.56148689077568,8.4821317445869,7.04349532216913,7.05480554059482,7.87497536505308,7.87922391533641,6.84066785633991,6.84066785633991
"Arhgap15",6.84066785633991,6.84066785633991,7.14005009355113,7.14049836596325,6.84066785633991,7.32113902080575,8.41763097249917,8.4244949842899,7.04349532216913,7.0438353128247,7.93352537740823,7.92653869305518,7.70516202885143,7.70609747841894
"Slc38a11",6.84066785633991,6.84066785633991,6.98695101407999,6.84066785633991,6.84066785633991,6.84066785633991,8.39383384852087,8.40061210224547,6.93634287033059,6.93650345183761,7.33331091668879,7.33540059153089,7.5920713365351,6.84066785633991
"Gm14464",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.88087856103604,8.88926928346873,6.84066785633991,6.84066785633991,7.57081271511385,7.57387455617823,7.51423148564098,7.51496868380565
"Pax6",6.84066785633991,6.84066785633991,7.01372280857419,7.09420080349113,7.1183693762336,7.11892029250922,9.11607851037369,9.11837595361341,7.16449683494252,7.11138434385589,7.73031993536183,7.73401342181986,7.11772738770177,6.84066785633991
"Arhgap11a",6.84066785633991,6.84066785633991,7.24803485833408,7.22728645109401,6.84066785633991,6.84066785633991,8.04243623843282,8.04786860931661,7.30742531771551,7.29844092373416,8.0097338876051,8.01448255406719,7.90858098696313,7.9097193851087
"Meis2",6.84066785633991,6.84066785633991,7.45348406007794,7.46449356704698,7.43723881840086,7.4384093041147,8.26668898708098,8.3128350692906,7.48433444769134,7.47846427245283,7.98857788519719,7.98245356025088,8.30893962943093,8.27662561145424
"Ltk",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.60246181612725,8.54775862207085,6.90832650488287,6.90844008440885,7.75856407458992,7.76236733617655,7.80374502836286,7.80477998716907
"Ebf4",6.84066785633991,6.84066785633991,7.08525823793154,7.08562490559305,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.07480872088981,7.07520098588605,7.78585759166108,7.78976630358809,8.11505801269716,8.11639229677753
"Kif16b",6.84066785633991,6.84066785633991,7.56477251221341,7.56583829875021,7.19881236761375,7.19952142066662,8.07531874797079,8.0808831639678,7.63410603024551,7.6354055589224,7.68595949758717,7.68947926826533,8.08809218025869,8.0756309432654
"Zfp937",6.84066785633991,6.84066785633991,7.0256555636612,6.9871706461187,6.84066785633991,6.84066785633991,7.89838405558982,8.4244949842899,6.99190180395049,6.99215549629785,7.49509602292999,6.84066785633991,7.39227279251445,7.48674193083217
"Slc52a3",6.84066785633991,6.84066785633991,6.90611009055647,6.90620841410797,6.84066785633991,6.84066785633991,7.4719563353604,7.47492663141709,7.04349532216913,7.0438353128247,6.84066785633991,6.84066785633991,8.04623675055366,8.04750695065972
"Hck",6.84066785633991,6.84066785633991,7.31053950579593,7.31123939521835,6.84066785633991,6.84066785633991,7.97315390011242,7.97830415710616,7.42652262298779,7.41982348325809,7.96694226413395,7.97153398464667,7.95673132085276,7.95791635638786
"Cd40",6.84066785633991,6.84066785633991,7.08525823793154,7.08562490559305,6.84066785633991,6.84066785633991,7.77295663570251,7.77726355716335,7.18487526554656,7.18545046475229,6.84066785633991,6.84066785633991,8.10166466307934,8.10298657321356
"Atp9a",8.48294321531369,8.48701959683955,8.3294071038998,8.3278188972447,7.92731996247712,7.9922103173806,9.48446226990533,9.38216864512227,8.31823436174751,8.32835113988559,9.3056533953714,9.23394190243358,8.86434752213204,8.78698033620378
"Stx16",9.06400111412982,9.0691256976001,8.77209949086964,8.73899213796664,8.38729900938139,8.36555639624386,8.10715547320785,7.88345102180339,8.4230996476692,8.42312736622973,7.96694226413395,7.89128731079479,7.94095841417483,7.94212823454462
"Fam217b",6.84066785633991,6.84066785633991,7.07638115454155,7.07673457475383,6.84066785633991,6.84066785633991,8.35718075646807,8.36382555041514,7.05444725715939,7.05480554059482,6.84066785633991,6.84066785633991,7.85773101541728,7.85881955894307
"Zbtb46",6.84066785633991,6.84066785633991,7.71500349557749,7.71164691937698,7.18052034186694,7.18119352315115,8.80620979263281,8.77961320908043,7.49794606755351,7.50239241520936,8.52777206620546,8.54075906086867,7.89195026912294,7.89307242928287
"Gm43672",6.84066785633991,6.84066785633991,7.33240446061829,7.33313630883809,7.19881236761375,7.19952142066662,7.79518353937853,7.79958605192751,7.30257921201066,7.31300467090782,7.67058370333096,7.67404290036206,7.92491250049197,8.27662561145424
"Rapgef2",7.18182169881109,7.1827540031638,7.52681753197654,7.51567020868692,7.81208611690927,7.72957911401782,8.67100093386182,8.67873383412917,7.50796043476709,7.56309276103768,8.08036201175087,8.02492690506627,8.22840194743706,8.26511629715329
"Pde4dip",9.2556266701848,9.25577500662279,9.49333181859922,9.52762921889617,8.77655777053796,8.86486013901246,8.25313318430528,8.27299723510596,8.49703059515094,8.47690856404312,8.85076372473418,8.7319495631238,8.31997821173613,8.35399946779797
"Gm42939",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.21619719331274,7.21694028693437,9.6709584001526,9.64500540922314,6.84066785633991,6.84066785633991,8.12792077724453,8.08536578940483,8.75499309771461,8.66187372929199
