"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gm19938",5.15445194986213,3.10164578625064e-07,0.00144269505013019,0.0466532738706452,NA
"Rp1",0.0674951259568435,-2.1704611556378e-07,0.00144269497678361,0.935483776106129,NA
"Sox17",49.4760495239159,1.35791712180707e-06,0.00144269387214965,0.0751995999757589,0.323894154548123
"Gm7357",4.20740423549444,-9.96364588822978e-07,0.00144269498592758,0.0816738296800002,NA
"Gm6085",18.416864239658,6.67332914776729e-07,0.0014426945142514,0.341071503279217,0.716348434775268
"Gm6123",2.88432103660513,2.43218356657592e-07,0.00144269492294214,0.45198062207818,NA
"Mrpl15",222.086132556061,-6.97882671966588e-06,0.0014426670634494,0.172396016522348,0.523704368363943
"Gm37144",80.028417280484,1.31587515727955e-06,0.00144269412224071,0.180658611392905,0.537310595535588
"Lypla1",801.294778430663,2.57208606529995e-06,0.00144267049188977,0.472345791763302,0.811391884453531
"Tcea1",97.3482320157486,1.83545293198626e-06,0.00144268945981467,0.388514677488524,0.754888871427976
"Gm37277",3.3536911743556,-3.98910647186331e-07,0.00144269505593491,0.100143165788831,NA
"Rgs20",0.0844449192975309,-2.35257221298655e-07,0.00144269497736398,0.895876960866812,NA
"Atp6v1h",478.157089935428,-5.67817243282333e-06,0.00144269098319761,0.293085445401197,0.67136831847444
"Gm37429",0.714666307470853,3.15946679136764e-07,0.00144269505072568,0.338397529085156,NA
"Rb1cc1",73.235616922218,2.16748259106189e-07,0.00144269290435703,0.918937842434503,0.98238859052849
"4732440D04Rik",1.95391980231913,-2.43725824041115e-07,0.00144269490338955,0.520126471479901,NA
"Gm19026",0.660474516944603,-3.56831410021171e-07,0.00144269501991484,0.390366215759585,NA
"Gm37108",0.018069764503714,1.19191523164143e-07,0.00144269499173261,0.716491605229542,NA
"Pcmtd1",246.823083104861,-2.6327214633727e-06,0.00144268524320148,0.320192364930879,0.698418225408966
"Gm38372",3.56439936789444,1.71983819156632e-07,0.0014426949720702,0.354068054147781,NA
"Gm9826",1.11271869456063,-2.97006668589513e-07,0.00144269476830798,0.498559625109962,NA
"Gm26901",18.4282859069573,7.93185565648381e-07,0.00144269487633055,0.113998373502555,0.415616702198873
"Sntg1",0.250221577410069,1.73687174363849e-07,0.00144269495144569,0.641181866308176,NA
"Gm15452",0.897361236045374,-2.90511107433426e-07,0.00144269477556402,0.623446048961352,NA
"Gm37629",6.17488606183503,1.20375458413554e-07,0.00144269490101406,0.720207311778175,NA
"Gm18299",0.0337475629784218,-1.69113683614394e-07,0.00144269498067844,0.959247912262522,NA
"Gm7512",0.0674444513891925,-2.16861375614336e-07,0.00144269497677216,0.935605638529775,NA
"Gm18300",0.0180092379015606,1.19071509766287e-07,0.00144269499174078,0.716635671743621,NA
"Rrs1",61.9414159755819,5.36840019216626e-07,0.00144269420932643,0.486501278970107,0.82137761600751
"Adhfe1",279.833487290327,-1.12080451480706e-06,0.00144268453020816,0.166292170855816,0.512816302972303
"2610203C22Rik",0.485814948871802,2.51019204964606e-07,0.00144269500326449,0.441648832905941,NA
"Gm6161",0.471940870766352,1.72110253213241e-08,0.00144269489137151,0.971648466606507,NA
"Mybl1",2.41140895182645,-4.76795788573673e-07,0.00144269473534565,0.221839279906263,NA
"Vcpip1",80.8351450302104,2.02427179943882e-07,0.00144269393502618,0.830231077675935,0.9594225833273
"1700034P13Rik",1.81247886862888,4.74142871505396e-08,0.00144269487089111,0.889246714206313,NA
"Sgk3",71.7927089376105,9.40934622971487e-07,0.00144269355958289,0.409318203919686,0.771235008209873
"Gm6195",0.222962237327727,-1.63902018735438e-07,0.00144269490911464,0.867681975869406,NA
"Gm22607",0.101242688935265,-2.46054476538962e-07,0.00144269497822648,0.857208198298763,NA
"Mcmdc2",0.529527838944855,8.03819368317494e-08,0.00144269489078347,0.839948749755431,NA
"Snhg6",44.2630718628876,2.16662430651154e-07,0.00144269450762882,0.710965199495212,0.922331126485476
"Tcf24",1.73866981631185,-7.68826066261649e-08,0.0014426948581115,0.835254931423417,NA
"Ppp1r42",10.1059192127737,9.51331987438771e-07,0.00144269515421812,0.00164714213655428,0.0387966957027044
"Cops5",148.530703437322,-4.42131955859038e-06,0.00144269274079109,0.0447109257935087,0.230638302380258
"Cspp1",60.1598016785701,1.17193583578477e-07,0.00144269450782036,0.860510145201916,0.970292894544728
"Arfgef1",128.898688061717,5.50320450208885e-07,0.00144268673603544,0.658683533051827,0.90526483514862
"Gm26348",0.134990251913687,-2.66800050041365e-07,0.00144269498130284,0.786436450063895,NA
"Gm28659",0.0168484442053854,-1.25562749587199e-07,0.00144269498955777,0.882516951511712,NA
"Prex2",20.164262664677,-5.3966718879067e-08,0.00144269442224333,0.929197757971032,0.983955375793983
"A830018L16Rik",11.1491425918319,3.15121374040263e-07,0.00144269505389009,0.0182805908096081,0.155821795904509
"Gm7560",36.7372510881397,-4.30396212553422e-07,0.00144269507170266,1.32860007758316e-15,4.73986178897776e-13
"Gm2383",0.158762635762975,6.76573255739178e-08,0.00144269490710132,0.799713964600418,NA
"Sulf1",24.0576115040286,-4.25661289947051e-07,0.00144269478772443,0.0491269527453879,0.246089019796845
"Slco5a1",4.06689601391842,-1.70754086680275e-06,0.00144269542981761,0.0150184307728642,NA
"Prdm14",5.24196668296084,2.40238080328681e-07,0.0014426949824047,0.349753832634556,NA
"Ncoa2",87.3116745731511,1.03528469858876e-06,0.00144269475340158,0.110288094552886,0.407987850031628
"Gm38376",0.168737814892109,-2.8183086454151e-07,0.00144269498480267,0.730762303048142,NA
"Gm37409",0.101242688935265,-2.46054476538962e-07,0.00144269497822648,0.857208198298763,NA
"Gm38120",0.134990251913687,-2.66800050041365e-07,0.00144269498130284,0.786436450063895,NA
"Gm7593",26.9030632073804,1.18384186940217e-06,0.00144269527807227,0.000375095614008344,0.0153019519952191
"Tram1",351.86577534825,-6.88825048020266e-07,0.00144268189763025,0.821029837962035,0.957284521585013
"Lactb2",544.973975756528,1.12098788777005e-07,0.00144269272098615,0.938138366004352,0.985484765312187
"Gm38319",3.50526203218622,-6.12097434328611e-07,0.0014426950770358,0.03763837755271,NA
"Xkr9",75.4251225286123,4.7667594386348e-06,0.00144269762101074,0.0430279009072265,0.225257375293487
"Gm5523",0.356567669412343,1.86294841626216e-07,0.001442694960543,0.665565711490605,NA
"Eya1",0.202485377870531,-2.95702927268271e-07,0.00144269498857909,0.685192513471494,NA
"Gm9947",2.40686337055603,-1.07111472123893e-06,0.00144269512629125,0.0358550562374058,NA
"Msc",17.1977151687305,6.22117593266427e-07,0.0014426950544754,0.0221624189148229,0.165308363828207
"Rpl5-ps1",5.24464315393366,3.89833101897448e-07,0.00144269505445561,0.0385459389999953,NA
"Trpa1",0,3.01913095284315e-07,0.00144269504446839,1,NA
"Gm10566",0.05292744661066,2.69652913912883e-07,0.001442694946936,0.785350859880495,NA
"Gm37138",3.98237093539513,-8.09367419814618e-07,0.0014426948206772,0.152852875331866,NA
"Terf1",50.1210247426,1.33324400759242e-06,0.00144269456337706,0.140703579801324,0.468299650943206
"Gm37509",0.0360790024052746,1.57143370838541e-07,0.00144269498913564,0.675952931406511,NA
"Rpl7",1679.98963320209,-3.80161074452808e-06,0.0014426748521375,0.870248985152316,0.971668890962742
"Rdh10",83.1987640765786,1.34381036671608e-07,0.0014426929526616,0.917945278641538,0.982025189717676
"Gm38249",0.108237007215824,2.14394077136696e-07,0.00144269499702,0.569637897280209,NA
"Stau2",14.8666212387308,5.60419822901841e-07,0.00144269462805402,0.356237938011043,0.729728809004004
"Gm7568",19.9156772751092,3.1663994454828e-07,0.00144269505393135,0.00833693735734311,0.108436974473665
"Ube2w",73.7421333547388,9.54833022806093e-07,0.00144269314483593,0.446323722947766,0.795755374885053
"Gm38342",0.216474014431648,2.26985823372983e-07,0.0014426950073543,0.479388553134002,NA
"Eloc",202.96294121906,-2.00696227316493e-06,0.00144268397606862,0.490031156125015,0.823787173176107
"D030040B21Rik",10.313475731753,3.37986712153084e-07,0.00144269505531798,0.0202100484004208,0.160759364617038
"Tmem70",150.205284559412,-9.73594409083113e-07,0.00144268474259319,0.835674373362027,0.962039725551595
"Ly96",4.84725349471028,-3.56522062075993e-07,0.00144269463496714,0.686459122228546,NA
"Gm5828",0.0168484442053854,-1.25562749587199e-07,0.00144269498955777,0.882516951511712,NA
"Jph1",7.32286626551246,-1.08560134977716e-06,0.00144269501225153,0.0413238292373807,0.218932471277034
"Rbm6-ps1",2.27264614634762,-9.54421945246024e-07,0.00144269503777035,0.0613030111893338,NA
"Pi15",0.371223192762639,-3.30761479804283e-07,0.00144269500401499,0.537058709741462,NA
"Crispld1",6.50454483253955,3.06067200808248e-07,0.00144269504506057,0.0739278431114547,0.3209684064088
"Gm15825",27.8359838217646,-4.06747264866293e-07,0.00144269506786719,6.39618301854682e-16,3.89820704217851e-13
"Gm38382",0.107104396614065,1.83593983734143e-07,0.00144269499475926,0.655485871572006,NA
"Pkhd1",30.9638951713356,2.69655981987179,1.36928916554148,0.000803459474449742,0.0243821612713203
"Gm15795",0.0507124852435848,-1.7299491960194e-07,0.00144269498427674,0.942933357265358,NA
"Gm28653",0.151889370686723,-2.74638416623165e-07,0.00144269498301272,0.75705254841943,NA
"Mcm3",69.1671541871688,-1.84003055118253e-06,0.00144269525630677,0.0049352698528262,0.0798156378994919
"Gm28065",3.01087603292365,3.04972460513322e-07,0.00144269504687636,0.0830476606624728,NA
"6720483E21Rik",0.0698265653836964,-7.29794486650449e-09,0.00144269491552947,0.860467992307087,NA
"Paqr8",0.628439088453267,-2.75137320978809e-08,0.00144269486793307,0.976635613434597,NA
"Efhc1",0.431144957653858,-1.39655160600263e-07,0.00144269488598197,0.846568130939771,NA
"Tram2",59.8197301778787,3.11017395538492e-06,0.00144269574485789,0.00424617916474232,0.0724724184862147
"Gm2693",1.05895905717263,-2.74967574805164e-07,0.00144269495203022,0.495844613523101,NA
"Tmem14a",9.6935034324951,-2.63850766742177e-07,0.00144269465462479,0.561236111849796,0.861014841129552
"Gm38224",0.0721580048105492,1.95507318644062e-07,0.00144269499256019,0.614911242914884,NA
"Gsta3",2246.49696346304,-2.39582562286114e-06,0.00144268047473885,0.343047919725211,0.718227935410293
"Gm28836",13.0309030557304,-2.38934952414124e-07,0.00144269463777559,NA,NA
"Gm4956",17.4236726800717,1.26206390487561e-06,0.00144269519780295,0.00286029272185701,0.0563263822338893
"Kcnq5",29.3151589152793,-7.76619781015137e-07,0.00144269503255656,0.0408947425434539,0.217515417884764
"Gm7658",16.8047691840677,-3.40127821979634e-07,0.00144269349191458,0.71150189883058,0.922331126485476
"Gm38243",0,3.04074409473043e-07,0.00144269504600155,1,NA
"Rims1",10.763539645655,3.19468045400977e-07,0.00144269505330198,0.0190977538324304,0.15817828160077
"Gm6420",0.108237007215824,2.14394077136696e-07,0.00144269499702,0.569637897280209,NA
"Gm27028",0.156450900405127,-4.35783638516101e-08,0.0014426948907067,0.936419360831966,NA
"Gm29107",0.209479696151089,-1.67989106206668e-08,0.00144269488423648,0.923231746506922,NA
"Ogfrl1",143.266170701181,2.48273204107644e-06,0.0014426947053934,0.037156715670806,0.204781944279156
"B3gat2",0.91542006018898,-1.36581950325895e-07,0.00144269487847454,0.766106820060096,NA
"Smap1",1.48553504856382,-2.60358154295144e-07,0.00144269493532916,0.494269001648114,NA
"Sdhaf4",45.4790409547536,-1.25915161620013e-06,0.00144269418999455,0.180601663684077,0.537310595535588
"Fam135a",155.227608113705,-2.27752928671066e-06,0.00144268994276074,0.6325755098731,0.895034570397829
"Col19a1",8.94696425188885,4.86318688687877e-07,0.00144269507262316,0.00560713231021849,0.0857537279218621
"Gm28439",1708.19460904584,6.15451345803755e-07,0.00144269364426299,0.514739210663134,0.836110315216936
"Gm10222",303.152766030976,4.14659152166771e-07,0.00144269365022935,0.664940617252201,0.907622845142585
"Gm28438",582.986952247057,6.12262946607948e-07,0.00144269352825451,0.575895221235308,0.869022483381085
"Gm28437",7741.05714569347,-1.72724634562624e-05,0.00144274550283809,0.418252161601601,0.775973410419408
"Gm10925",6401.64301453709,8.07682242105262e-07,0.00144269358564968,0.459556324075241,0.805654512552071
"Gm28661",9766.51310966345,7.74602275582914e-07,0.00144269370449992,0.465663907522061,0.808651716827576
"Gm29216",4173.62750094007,1.00206742247306e-08,0.00144269330953923,0.995271767706321,0.998206263455867
"Lmbrd1",212.122890895646,8.73876928706527e-07,0.00144269354415663,0.484762309785257,0.820300908746687
"Adgrb3",15.66514335494,-7.65123895965491e-07,0.00144269513131903,0.00108648190084414,0.0301985765258834
"Gm38198",5.45765500573638,3.13652223691743e-07,0.00144269505073237,0.043695264049714,NA
"2900022M07Rik",18.7472102427141,3.09023075420953e-07,0.00144269501377446,0.177812942272625,0.53351177571727
"Gm5524",29.7733076891305,-1.14043941653975e-07,0.00144269417294776,0.879885893110394,0.974213911268702
"Gm19028",4.93472290161031,3.12869640400273e-07,0.00144269505025209,0.0489476333356045,NA
"Gm7846",1.33468572841699,4.40480506472916e-07,0.00144269486087293,0.351415139741869,NA
