"","BC16_fliv_N_1.sort.bam","BC16_fliv_N_2.sort.bam","BC16_fliv_O_1.sort.bam","BC16_fliv_O_2.sort.bam","BC16_fliv_P_1.sort.bam","BC16_fliv_P_2.sort.bam","BC16_fliv_Q_1.sort.bam","BC16_fliv_Q_2.sort.bam","BC16_fliv_R_1.sort.bam","BC16_fliv_R_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Col3a1",9.94494563505976,9.91828213747361,9.15910418300495,9.14440953929038,8.71011753907379,8.70581348483297,8.68890518536431,8.7168954109941,9.2146491831352,9.23024991362631,10.0197213485073,10.0265713627815,9.54601295950938,9.53865877190848,9.53373613926748,9.51643950493146,10.9354470264281,10.9393709789623
"Ino80d",8.9224639037682,8.9080831324366,8.84450916684906,8.83671319360682,8.77694999654689,8.78360699087017,9.14260410987164,9.14685558866715,9.55055350500203,9.55316357131639,7.77220626039782,7.77220626039782,8.3893974346549,8.3851391323727,8.25658835958885,8.25640062395722,8.83088938059616,8.83186716649153
"Rufy4",7.77220626039782,7.77220626039782,8.03911880005785,8.03901745762796,8.08809215008059,8.0885655336151,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.07807883128621,8.5149871989971,8.08355739025599,8.08440970198153,8.36408159223859,8.42163937591688,9.00976566262355,9.00307547326918
"Cdh20",7.77220626039782,7.77220626039782,7.81873404740824,7.83797858777215,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.01681358873594,9.02351270528827,7.77220626039782,7.77220626039782,8.48472318036029,8.48444996482605,7.77220626039782,7.77220626039782
"Tnfrsf11a",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.91634317112166,7.91655985689083,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.58853349049086,8.59307717611095,7.95219721029869,7.95269120409652,7.77220626039782,7.77220626039782,8.54258033183118,8.48729169577538
"Phlda3",7.77220626039782,7.77220626039782,7.93330651403261,7.93324523618995,7.95653810057067,7.95681506615205,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.98973972836658,7.99033640210472,8.25658835958885,8.15566485432453,8.88553262074731,8.88655629754246
"Platr22",7.77220626039782,7.77220626039782,7.9398774706749,7.93981369893649,7.94049648984914,7.92912327650432,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.88162923776633,8.89803659846667,7.84284325860784,7.84303733874237,8.42188933064241,8.42163937591688,7.77220626039782,7.77220626039782
"Fam129a",7.77220626039782,7.77220626039782,7.99513350883749,7.99504879416141,8.07905629560574,8.07643907271321,8.14073845030686,8.14196020527856,7.77220626039782,7.77220626039782,8.72330425210539,8.72854956440777,8.13149249433875,8.13247476431902,8.22556769401114,8.22539177914152,8.42545920650993,8.40978997823975
"Fam163a",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.83368735781563,7.83377984738878,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.05227033822482,9.05034723743839,7.85871424262458,7.85895190558427,8.56018654844982,8.55988572045526,7.77220626039782,7.77220626039782
"Ankrd45",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.15188567218108,9.15921573181053,7.77220626039782,7.77220626039782,8.45408343895395,8.45382153679086,8.55589324061968,8.543306335396
"Dnm3",7.77220626039782,7.90412076395666,7.92645468085461,7.92639600418369,7.95135136834029,7.95162056098612,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.55847158312962,8.6077362616461,7.85871424262458,7.85895190558427,7.77220626039782,7.77220626039782,8.48661625400386,8.48729169577538
"Fmo3",9.5788310822651,9.57414624931384,9.84641917767721,9.8221175472093,10.5242343905284,10.5268549468912,9.53763985689511,9.54565715804935,8.77651416019227,8.76753120213131,8.60311572774527,8.6077362616461,8.9283840400425,8.93140096038379,8.76323251949041,8.76285937129927,8.42545920650993,8.42607884844519
"Gm36945",7.77220626039782,8.20820847692999,7.77220626039782,7.89522839821035,7.77220626039782,7.8476153342964,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.78317011256999,8.77701816913188,7.88387643796239,7.88418316743581,8.15581404786471,8.11538286907983,8.33913056986463,8.45741974743522
"Ddr2",7.77220626039782,7.77220626039782,8.18951810689628,8.21896534859999,8.12453876493034,8.13034583086207,8.35775282927067,8.35967813749886,7.77220626039782,7.77220626039782,9.04352136620786,9.05034723743839,8.15154246024699,8.16539859409409,8.53284336842212,8.53255250287864,9.27615440202945,9.25915190798665
"Pea15a",8.59603735394197,8.60553238415103,8.48282748846446,8.49988860889424,8.27848949912891,8.26056923346273,8.45271285564816,8.45493983984896,8.56178289882143,8.56305358872695,9.60318717120785,9.65476229339826,8.38149941239313,8.33533018737472,8.28567324662184,8.28547446613619,9.33516227954876,9.26529688363808
"Slamf9",7.77220626039782,7.77220626039782,7.95229846185241,7.95222997775688,7.83368735781563,7.83377984738878,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.54295664360629,8.54725876059059,8.03142027794747,8.03213071154876,8.28567324662184,8.28547446613619,7.77220626039782,7.77220626039782
"Ifi211",7.77220626039782,7.77220626039782,7.99513350883749,7.95222997775688,7.97128487553913,7.92297296320204,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.78317011256999,8.78872057747902,8.16117165590433,8.15257893324545,7.77220626039782,7.77220626039782,8.3004309722945,8.58256165522337
"Gm37033",8.29744534158067,8.29714748998501,7.91174127807534,7.91168818926669,8.02539346474635,8.02202610036263,8.10572010638626,7.77220626039782,7.77220626039782,7.77220626039782,8.95157242457518,8.95795787601766,7.93009236563085,7.94561927130092,8.3878961174968,8.37588016486733,8.66600263145623,8.66683830023478
