"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Smap1",20.0226091527148,-5.53440903729361,1.71965627560665,-3.21832282171693,0.00128942605439542,0.0439545943498333
"Ankrd39",24.810427555108,-5.58764682263293,1.45721458147918,-3.83447084159771,0.000125834897785203,0.0101291037856338
"Chst10",14.3424218136806,6.66011592820425,2.04366239637384,3.25891201013513,0.00111840349288341,0.040738442123753
"Col3a1",463.109364540027,1.57465422195388,0.461836014686253,3.40955268077916,0.000650695093940443,0.0288613041594757
"Cdk15",13.3458513896733,7.5255630104129,2.34681205340879,3.20671738475259,0.00134258823302125,0.0446794805494415
"Ino80d",128.876843497052,-2.04337909769375,0.618651263923675,-3.30295792937367,0.000956707399023402,0.0365780337572024
"Rufy4",40.5469654161551,4.41462913391226,0.936119034802443,4.71588437985765,2.40663079273899e-06,0.000647439469555071
"Pnkd",205.388829404573,1.23054087285788,0.369061064096252,3.33424734432822,0.000855305637323049,0.0341055565398425
"Gm38374",15.9829265911272,5.82709707691305,1.79796401615133,3.24094199025538,0.0011913542484552,0.0422958208760316
"Hdlbp",759.12246587549,-0.808502180776783,0.189567336934376,-4.2649867527372,1.99914062805041e-05,0.00301987831343144
"Cdh20",25.4187638217584,7.80591799292026,1.88378602344668,4.14373920167329,3.41688310558407e-05,0.00446163855007113
"Tnfrsf11a",15.2463533133146,5.72778959083016,1.55185104601499,3.69094031642959,0.000223426562940782,0.0142844667294256
"Celrr",20.0656780228516,6.33998995703463,2.01364970746799,3.14850687958369,0.00164106860498448,0.0497747737511827
"Rpl31-ps9",13.8741497377943,5.50585264385642,1.5582957073414,3.53325278245804,0.000410479788829902,0.0210822419543038
"Nucks1",197.126854873556,0.844323519493683,0.240393853004366,3.51225087056759,0.000444328362645486,0.0223732399073257
"Mfsd4a",11.2349710088489,-6.24375393427876,1.72935844056665,-3.61044523091054,0.000305671844922334,0.0174724201904891
"Mgat4e",16.1688084312317,7.80118816263455,2.31883649328024,3.36426832389504,0.000767468884632376,0.0322211459793342
"Phlda3",18.7125716942275,4.7600989922613,1.24881411983522,3.81169536495104,0.000138016908755772,0.0105799230353678
"Platr22",21.0254850451286,5.08802396909112,1.35937972589227,3.742901171894,0.000181907786809028,0.0124054205904062
"Fam129a",23.1604129741719,2.83168606612498,0.732450654682301,3.86604346384702,0.000110615233197789,0.00941635090116868
"2810414N06Rik",33.4378181058016,3.6681579666917,0.938525775290767,3.90842538720395,9.28996284127564e-05,0.00862287635291416
"BC034090",14.5967027545467,-5.93219970314968,1.82826231606985,-3.24472021930743,0.00117566072365185,0.0420483216243425
"Fam163a",27.9344804071409,7.86746028151215,1.5241947389216,5.16171594128356,2.44696405403353e-07,0.000124448994464303
"Ankrd45",36.8483367718225,9.03800450466771,1.59281558865162,5.67423157398824,1.39312572603412e-08,1.1925156214852e-05
"Dnm3",14.8135528295055,4.34641037502833,1.2576909725415,3.45586512897144,0.000548529710343718,0.0255339751570272
"Fmo3",315.992128216356,-2.38160097174438,0.426607562134295,-5.58265062116891,2.36880304650747e-08,1.6749305789298e-05
"Gm36945",19.9758248873548,4.32175807020846,1.32582892429327,3.25966494697811,0.00111543898948108,0.0407267392178303
"Nuf2",7.89497442741186,5.15835121630632,1.58216274423452,3.26031644665102,0.00111287973489067,0.0407267392178303
"Ddr2",65.1586219245126,3.18172434623872,0.841382169548962,3.78154477405237,0.000155858182027105,0.0114597657675253
"Alyref2",17.9946858843515,-4.50034690585238,1.33710587761572,-3.3657371351005,0.000763394187015898,0.032137643807489
"Pea15a",113.523148307234,1.77893128963781,0.550568997467995,3.23107784459153,0.0012332434790126,0.0430880170626444
"Slamf9",11.4595238664192,4.65698412518758,1.24275151406611,3.74731720096688,0.00017873600348068,0.0123496158817503
"Ifi211",20.6563018959927,4.64341595237695,1.19306589562108,3.89200292240328,9.94200471464917e-05,0.00890618654902991
"Gm37033",36.4862581197875,3.03593748091398,0.900909687836948,3.36985773591042,0.000752070005005145,0.0317476565400528
"C130074G19Rik",390.55271585127,-1.05748754401573,0.265929623506984,-3.97656917672416,6.99166665262466e-05,0.00690561537074621
"Frmd4a",57.2768742592042,-4.14885124173036,1.28793366844145,-3.22132369344064,0.00127599943367574,0.0437686288551214
"Ccdc3",29.1685755199903,5.47430777769107,0.975856022334728,5.60974944294941,2.02619753209403e-08,1.63649647946139e-05
"Gm37975",14.1220824647607,7.60382841674306,2.35451957897382,3.22946068686209,0.00124023931637861,0.0432344058524017
"Mastl",11.6890994532523,4.72953813927942,1.25521192962339,3.76792000431229,0.000164613432143297,0.0117970407556462
"Nsmf",431.597177791277,-1.06962328998186,0.33408091166274,-3.20168932926542,0.00136624259265744,0.0449335249919027
"Fcnaos",15.2365099275986,-5.39931407968267,1.41057870415269,-3.82772975643777,0.000129330640942538,0.0102191103366289
"Brd3",130.504709895613,-1.97818103935038,0.616713911681676,-3.20761539812879,0.00133840352977756,0.0446366268112829
"Rxra",683.924820684828,-0.535989159153324,0.156254781157688,-3.43022565570277,0.000603079481478,0.0271703176918509
"Zer1",77.3416036576655,-2.66042782728359,0.774472520199417,-3.43514812713893,0.000592230015123677,0.026997278322561
"Tbc1d13",139.29557043472,-2.81041833537197,0.86770969690311,-3.23889239154807,0.00119994836553046,0.0425029986576856
"Gm13611",17.8517001436237,5.44976403605908,1.03893612070033,5.24552369243405,1.55839031024026e-07,8.57559925006498e-05
"Garnl3",13.9013528104162,4.72469952171182,1.32772963607054,3.55848012528721,0.000373007009940381,0.019615331089288
"Neb",56.2518112106652,-3.54898722426551,0.943421134104615,-3.76182713739374,0.000168676614633628,0.0119218774232796
"Gm13623",25.037967258048,8.43758420561656,2.22267460315386,3.79614010689827,0.000146966459826618,0.0109925204514977
"Gm13657",25.708300451513,4.7925283138733,1.27080637506711,3.77124982050881,0.000162431955668967,0.0117970407556462
"Gm13680",12.3521744048617,3.70710408956497,1.14277677634435,3.24394419479164,0.00117886840150051,0.0420483216243425
"Selenoh",37.3176647668067,2.41420719977542,0.761310688594915,3.17111953889825,0.00151852640393776,0.0480440550962484
"1110051M20Rik",38.127888165201,2.94253272823864,0.93044602850529,3.16249695102214,0.00156422373627702,0.0486900188455682
"Arhgap1",45.5473722623568,-2.59382465023872,0.666950911608758,-3.88907879889112,0.000100625444962613,0.00896206275135228
