Geneid,BC16_fliv_N_1.sort.bam,BC16_fliv_N_2.sort.bam,BC16_fliv_O_1.sort.bam,BC16_fliv_O_2.sort.bam,BC16_fliv_P_1.sort.bam,BC16_fliv_P_2.sort.bam,BC16_fliv_Q_1.sort.bam,BC16_fliv_Q_2.sort.bam,BC16_fliv_R_1.sort.bam,BC16_fliv_R_2.sort.bam,CTRL_fliv_B_1.sort.bam,CTRL_fliv_B_2.sort.bam,CTRL_fliv_D_1.sort.bam,CTRL_fliv_D_2.sort.bam,CTRL_fliv_E_1.sort.bam,CTRL_fliv_E_2.sort.bam,CTRL_fliv_F_1.sort.bam,CTRL_fliv_F_2.sort.bam
4933401J01Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37363,14,3,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0
Gm37686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
Gm10568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,23,23,159,157,157,159,0,0,0,0,39,39,71,73,79,79,19,19
Gm37587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7357,0,0,0,0,23,22,0,0,0,0,0,0,12,11,0,0,0,0
Gm22307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6085,0,0,46,49,71,63,0,0,0,0,37,23,63,37,0,16,0,0
Gm6119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6123,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,9,7
Mrpl15,143,139,756,764,1052,1057,415,402,219,219,82,82,946,954,119,113,91,88
Gm37144,94,94,65,67,139,126,158,161,62,94,67,62,20,26,119,115,44,36
Lypla1,642,650,2521,2528,2519,2513,1265,1230,70,70,465,464,3799,3800,379,380,324,318
Gm37988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcea1,22,21,259,291,276,255,141,165,0,0,9,64,498,464,70,68,40,73
Gm6104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37277,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
Rgs20,51,51,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v1h,418,416,1472,1467,1347,1358,499,538,45,45,139,139,2665,2642,234,220,142,151
Gm7182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oprk1,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm36965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37429,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,16,29,361,371,475,486,66,63,23,23,33,33,441,454,69,70,0,0
4732440D04Rik,0,0,87,89,25,25,0,0,0,0,0,0,13,13,0,0,0,0
Alkal1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2147,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm7417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19026,0,0,8,0,9,8,0,0,27,32,0,0,0,0,0,0,0,0
St18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm42492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37108,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Gm37275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcmtd1,80,122,1826,1859,2033,2010,213,152,85,76,51,21,1204,1226,167,156,122,101
Gm26983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38372,0,0,11,11,17,17,0,0,0,0,0,0,0,0,15,15,0,0
Gm9826,1,2,20,3,6,6,0,1,1,3,0,1,3,0,0,0,1,0
Nras-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26901,0,0,0,0,0,0,47,47,0,0,42,0,0,0,13,13,17,23
Gm18984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm30414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps2-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sntg1,0,0,4,4,0,0,0,34,0,0,0,0,6,6,0,0,0,0
Gm38024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38259,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0
Gm23358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15452,0,0,0,0,6,9,0,0,1,1,0,0,10,4,0,0,0,0
Gm36964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
Gm38008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rrs1,42,44,506,502,306,313,117,119,68,68,0,0,203,206,67,68,72,72
Adhfe1,145,162,1387,1378,1591,1556,239,236,82,107,71,80,1509,1496,188,180,212,200
2610203C22Rik,0,0,9,9,16,12,0,0,0,0,0,0,14,12,0,0,0,0
Gm6161,0,0,0,0,9,7,0,0,1,0,0,0,0,0,0,0,1,1
Vxn,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mybl1,0,0,5,5,4,9,30,23,0,0,0,0,14,10,0,0,0,0
Vcpip1,89,88,480,491,616,601,65,63,0,0,0,1,498,488,51,51,68,68
1700034P13Rik,0,0,22,19,15,17,0,0,0,0,0,0,32,32,0,0,0,0
Sgk3,49,48,146,146,233,238,98,106,40,40,0,0,283,283,99,97,58,61
Gm6195,0,0,0,0,1,6,0,0,0,0,0,0,0,3,0,0,0,0
Gm22607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mcmdc2,0,0,7,6,0,0,0,0,0,0,0,0,10,10,0,0,0,0
Snhg6,52,52,226,231,185,172,0,0,37,37,0,0,378,390,73,73,0,0
Snord87,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcf24,0,0,27,27,35,36,0,0,0,0,0,0,22,22,0,0,0,0
E330040D14Rik,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Ppp1r42,0,0,2,11,7,7,0,0,0,0,0,15,6,6,0,0,24,23
Gm15818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cops5,229,229,627,649,676,687,147,144,0,0,18,18,900,913,34,34,39,39
Cspp1,59,59,652,663,800,790,105,105,26,26,0,0,315,310,121,121,0,0
1700047N06Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arfgef1,65,61,503,506,638,634,120,133,61,61,53,53,799,802,112,112,18,19
Gm26348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cpa6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prex2,58,57,55,56,69,64,17,17,0,0,0,0,55,55,0,0,30,30
Gm24173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A830018L16Rik,0,0,0,0,0,0,0,0,0,0,63,63,0,0,0,0,0,0
Gm38178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38069,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7560,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2383,0,0,1,0,0,1,0,1,0,0,0,0,5,1,0,0,0,0
Gm6216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulf1,0,0,19,19,19,19,24,24,0,0,0,0,11,11,0,0,9,9
Slco5a1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gm37162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29283,0,0,8,8,0,1,15,15,0,0,0,0,0,0,0,0,0,0
Prdm14,33,32,4,4,0,0,0,0,53,54,0,0,0,0,22,22,0,0
Ncoa2,88,88,515,517,631,627,100,100,0,0,121,120,272,269,28,28,51,52
Gm38376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37702,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Gm23169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38120,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
Gm38380,0,0,10,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Gm29570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
